Store,Method,LagSet,Horizon,Splits,MAE,RMSE,NMAE,Improvement_vs_SeasonalNaive7_pct
Richmond,ARIMAX,-,4,12,5.0,5.0,0.083,0.0
Richmond,RandomForest_MV,mv_lag14,4,12,4.62,4.62,0.093,-12.048
Richmond,XGBoost_MV,mv_lag7,4,12,5.46,5.46,0.104,-25.301
Richmond,XGBoost_MV,mv_lag14,4,12,6.949,6.949,0.141,-69.88
Richmond,LinearReg_MV,mv_lag14,4,12,15.602,15.602,0.284,-242.169
Richmond,LinearReg_MV,mv_lag7,4,12,14.528,14.528,0.296,-256.627
Richmond,VAR,-,4,12,25.407,25.407,0.53,-538.554
Richmond,ARIMAX,-,5,12,3.5,3.5,0.075,0.0
Richmond,RandomForest_MV,mv_lag14,5,12,3.53,3.53,0.077,-2.667
Richmond,XGBoost_MV,mv_lag14,5,12,4.443,4.443,0.081,-8.0
Richmond,RandomForest_MV,mv_lag7,5,12,4.525,4.525,0.104,-38.667
Richmond,XGBoost_MV,mv_lag7,5,12,9.233,9.233,0.17,-126.667
Richmond,LinearReg_MV,mv_lag14,5,12,16.141,16.141,0.281,-274.667
Richmond,LinearReg_MV,mv_lag7,5,12,17.188,17.188,0.324,-332.0
Richmond,VAR,-,5,12,23.704,23.704,0.564,-652.0
Richmond,XGBoost_MV,mv_lag14,6,12,2.709,2.709,0.055,26.667
Richmond,RandomForest_MV,mv_lag14,6,12,3.69,3.69,0.069,8.0
Richmond,ARIMAX,-,6,12,3.5,3.5,0.075,0.0
Richmond,RandomForest_MV,mv_lag7,6,12,3.59,3.59,0.078,-4.0
Richmond,XGBoost_MV,mv_lag7,6,12,3.556,3.556,0.083,-10.667
Richmond,LinearReg_MV,mv_lag14,6,12,15.44,15.44,0.278,-270.667
Richmond,LinearReg_MV,mv_lag7,6,12,15.993,15.993,0.327,-336.0
Richmond,VAR,-,6,12,17.084,17.084,0.361,-381.333
Richmond,RandomForest_MV,mv_lag7,7,12,3.355,3.355,0.065,4.412
Richmond,ARIMAX,-,7,12,3.5,3.5,0.068,0.0
Richmond,RandomForest_MV,mv_lag14,7,12,3.925,3.925,0.079,-16.176
Richmond,XGBoost_MV,mv_lag7,7,12,4.636,4.636,0.096,-41.176
Richmond,XGBoost_MV,mv_lag14,7,12,5.356,5.356,0.108,-58.824
Richmond,LinearReg_MV,mv_lag7,7,12,12.852,12.852,0.24,-252.941
Richmond,LinearReg_MV,mv_lag14,7,12,14.122,14.122,0.247,-263.235
Richmond,VAR,-,7,12,16.215,16.215,0.344,-405.882
